1-2 Switch,March 3rd. 2017,Party Game,,$49.99,98
3D Mini Golf,February 1st. 2018,Sports,PAL,???,105
88 Heros: 98 Heroes Edition,October 12th. 2017,Platformer,,$29.99,50
Adventure Time: Pirates of the Encridion,July 17th. 2018 (NA). July 20th. 2018 (PAL),Adventure,NA. PAL,$39.99,150
Air Conflicts Double Pack,January 29th. 2018,Simulation,,$39.99,15
Airport Simulator 2018,September 14th. 2018 (PAL),Simulation,PAL (?),$39.99,34
All-Star Fruit Racing,August 21st. 2018 (NA). July 13th. 2018 (PAL),Racing,NA. PAL,$39.99,89
American Ninja Warrior 2018,November 6th. 2018,Action,,$39.99,14
America's Greatest Game Shows: Wheel of Fortune & Jeopardy,October 30th. 2018,Party,,$39.99,63
Anima: Gate of Memories Arcane Edition,November 9th. 2018,RPG,,?29.99 (~$40),30
Anonymous;Code,TBA,Visual Novel,,TBA,80
Aokana: Four Rhythm Across the Blue,March 29th. 2018,Visual Novel,JP,$64.99,43
Aqua Moto Racing Utopia,"April 27th. 2018 (NA)
November 24th. 2017 (PAL)",Racing,NA. PAL,$29.99,65
Aragami: Shadow Edition,November 16th. 2018,Action-Adventure,,$39.99,111
ARK Survival Evolved,Fall 2018,Survival,,$49.99,117
Arms,June 16th. 2017,Fighting,,$59.99,126
Asonde Shogi ga Tsuyoku Naru Ginsei Shogi DX,December 14th. 2017,Board,JP,4.990ù (~$45),139
Asterix and Obelix XXL2,November 29th. 2018,Action-Adventure,PAL,?44.99 (~$60),40
Asterix and Obelix XXL3,2019,Action-Adventure,,TBA,44
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,"March 27th. 2018 (NA)
March 30th. 2018 (PAL)
December 21st. 2017 (JP)",RPG,,$59.99,26
Attack on Titan 2,March 20th. 2018 (NA & PAL). March 15th. 2018 (JP),Hack & Slash,,$59.99,100
ATV Drift and Tricks,November 23rd. 2018,Racing,,$29.99,15
Axiom Verge: Multiverse Edition,October 5th. 2017,Metroidvania,,$39.99,94
Azure Striker Gunvolt,August 31st. 2017,Action,,$39.99,21
Baphomets Fluch 5: Der Sundenfall,TBA,Adventure,PAL,TBA,108
Bass Pro Shops The Strike: Championship Edition Bundle,October 16th. 2018,Sports,,$49.99,122
Batman: The Enemy Within,TBA,Adventure,,TBA,49
Batman: The Telltale Series,November 14th. 2017 (NA). November 17th. 2017 (PAL),Adventure,,$39.99,46
Battle Chasers: Nightwar,May 15th. 2018,RPG,NA. PAL,$39.99,50
Battle Princess Madelyn,Decembere 20th. 2018,Action-Adventure,JP,$29.99,131
Bayonetta 1 (Non-Stop Climax Edition Only),February 17th. 2018,Hack & Slash,JP,???,25
Bayonetta 2,February 16th. 2018 (NA & PAL). February 17th. 2018 (JP),Hack & Slash,,$59.99,26
Bayonetta 3,TBA,Hack & Slash,,TBA,33
Ben 10,"November 14th. 2017 (NA)
November 10th. 2017 (PAL)",Action-Adventure,NA. PAL,$29.99,98
Bendy and the Ink Machine,18-Oct,Survival Horror,NA. PAL,TBA,94
Beyblade Burst Battle Zero,October 25th. 2018,Action,JP,6.280ù (~$56),91
Big Bash Boom,November 29th. 2018,Sports,AU,AU$89.95 (~$65),97
Big Buck Hunter Arcade,October 16th. 2018,Arcade,,$29.99,32
Binding of Isaac: Afterbirth + (Launch Case- Brown),"March 17th. 2017 (NA)
September 7th. 2017 (PAL)",Roguelike,NA. PAL,$49.99,19
Binding of Isaac: Afterbirth + (Blue Case),"March 17th. 2017 (NA)
September 7th. 2017 (PAL)",Roguelike,NA. PAL,$49.99,74
Blade Strangers,"August 28th. 2018 (NA)
Q3 2018 (PAL)
August 30th 2018 (JP)",Fighting,,$39.99,59
Blaster Master Zero,TBA,Action-Adventure,,TBA,91
BlazBlue CrossTag Battle,"June 5th. 2018 (NA)
June 22nd. 2018 (PAL)
May 31st. 2018 (JP)",Fighting,,$49.99,74
Bloodstained: Ritual of the Night,2018,Metroidvania,,TBA,72
Brawlout,December 19th. 2017,Fighting,,$29.99,83
Broken Age,LRG,Adventure,NA,$29.99,115
Broken Sword 5 The Serpent's Curse,September 21st. 2018,Adventure,,$29.99,75
Cabela's The Hunt: Championship Edition Bundle,October 16th. 2018,Sports,,$49.99,54
Candle: The Power of the Flame,July 26th. 2018,Puzzle,NA. PAL,$29.99,59
Capcom Beat'em Up Bundle,December 6th. 2018,Arcade,JP,3.564ù (~$32),81
Captain Toad: Treasure Tracker,July 13th. 2018,Puzzle Platformer,,$39.99,91
Carnival Games,November 6th. 2018,Party,,$39.99,56
Cars 3: Driven to Win,"June 13th. 2017 (NA)
July 14th. 2017 (PAL)
July 20th. 2017 (JP)",Racing,,$44.99,51
Cartoon Network: Battle Crashers,October 31st. 2017,Beat 'em up,NA. PAL,$29.99,65
Cat Quest,September 18th. 2018,RPG,,$29.99,47
Cave Story + (Launch Case),"June 20th. 2017 (NA & PAL)
February 8th. 2018 (JP)",Platformer,,$29.99,45
Cave Story + (Possible Second Case),"June 20th. 2017 (NA & PAL)
February 8th. 2018 (JP)",Platformer,,$29.99,140
Caveman Warriors,Q4 2018,Platformer,PAL,TBA,21
Champion Jockey Special,September 14th. 2017,Simulation,JP,7.800ù (~$70),125
Chicken Range,September 28th. 2018,Shoot 'em up,PAL,$19.99,60
Child of Light: Ultimate Edition,October 11th. 2018,Platformer,,TBA,71
Civilization VI,November 16th. 2018,Strategy/Sim,,$59.99,25
Clever Learning,TBA,Learning Tool (?),PAL (?),CDN$29.99 (~$23),57
Closed Nightmare,July 19th. 2018,Horror,JP,7.538ù ($67),114
Code of Princess EX,"July 31st. 2018 (NA & PAL)
August 2nd. 2018 (JP)",Hack & Slash,,$39.99,87
Code: Realize Saikou no Hanataba,September 13th. 2018,Visual Novel,JP,$63.99,99
Constructor Plus,TBA,Real-Time Strategy,,$34.99,112
Cops 911,TBA,Simulation,,CDN$29.99 (~$23),26
Crash Bandicoot N. Sane Trilogy,June 29th. 2018,Platformer,,$39.99,110
Crash Dummy,TBA,,,TBA,112
Crayola Scoot,"October 23rd. 2018 (NA)
October 26th. 2018 (PAL)",Sports,,$39.99,14
Crystal Crisis,November 27th. 2018,Puzzle,,$39.99,107
Cube Creator X,April 26th. 2018,RPG,JP,$34.99,75
Daemon X Machina,2019,Action,,$59.99,37
Daitoshokan no Hitsujikai: Library Party,July 26th. 2018,Visual Novel,JP,$65.99,119
Darius Cozmic Collection,February 28th. 2019,Shoot 'em up,JP,$49.99,102
Dark Souls Remastered,Q3 2018,RPG,,$39.99,52
Darkest Dungeon Ancestral Edition,"January 18th. 2018 (NA & PAL)
August 9th. 2018 (JP)",Tactical RPG,,$39.99,39
De Blob,June 26th. 2018,Platformer,NA. PAL,$29.99,19
De Blob 2,August 28th. 2018,Platformer,,$29.99,144
Dead Cells,August 7th. 2018,Metroidvania,,$34.99,34
Death Squared,July 13th. 2017 (PAL),Puzzle,PAL,$39.99,44
Deemo,"January 15th. 2019 (NA)
October 25th. 2018 (JP)",Rhythm,,$39.99,16
Diablo III Eternal Collection,Fall 2018,RPG,,$59.99,134
Dimension Drive,PlayAsia Exclusive,Shoot 'em up,JP,$24.99,64
Disgaea 1 Complete,"October 9th. 2018 (NA)
October 12th. 2018 (PAL)
July 26th. 2018 (JP)",Tactical RPG,,$49.99,60
Disgaea 5 Complete,"May 23rd. 2017 (NA)
May. 26th. 2017 (PAL)
March 3rd. 2017 (JP)",Tactical RPG,,$39.99,108
Donkey Kong Country: Tropical Freeze,"May 4th. 2018 (NA & PAL)
May 3rd. 2018 (JP)",Platformer,,$59.99,146
Doom,"November 10th. 2017 (NA & PAL)
March 1st. 2018 (JP)",FPS,,$59.99,75
Dragon Ball FighterZ,"September 28th. 2018 (NA & PAL)
September 27th. 2018 (JP)",Fighting,,$59.99,50
Dragon Ball Xenoverse 2,"September 22nd. 2017 (NA & PAL)
September 7th. 2017 (JP)",Fighting,,$49.99,105
Dragon Marked for Death,January 31st. 2019,Action RPG,JP,5.980ù (~$53),119
Dragon Quest Builders,"February 9th. 2018 (NA & PAL)
March 1st. 2018 (JP)",Sandbox,,$49.99,44
Dragon Quest Builders 2,TBA,Sandbox,,TBA,79
Dragon Quest Heroes I & II,March 3rd. 2017,Hack & Slash,JP,$59.99,57
Dragon Quest X: All In One Package,September 21st. 2017,MMO,JP,4.800ù (~$43),98
Dragon Quest XI,TBA,RPG,,TBA,123
Dust: An Elysian Tale,LRG,Metroidvania,NA,$29.99,115
Elder Scrolls V: Skyrim (Black Case),"November 17th. 2017 (NA & PAL)
February 1st. 2018 (JP)",RPG,,$59.99,20
Elder Scrolls V: Skyrim (Red Case),,,,,26
Elder Scrolls V: Skyrim (Blue Case),,,,,108
Enter the Gungeon,TBA,Adventure,,TBA,116
Fallen Legion: Rise to Glory,"May 4th. 2018 (NA & PAL)
May 3rd. 2018 (JP)",Tactical RPG,,$39.99,88
Farmer?s Dynasty,TBA,Simulation,,CDN$29.99 (~$23),47
Farming Simulator: Nintendo Switch Edition,"November 7th. 2017 (NA & PAL)
December 14th. 2017 (JP)",Simulation,,$39.99,116
Fate/Extella: The Umbral Star,"July 25th. 2017 (NA)
July 21st. 2017 (PAL)
July 20th. 2017 (JP)",Action,,$39.99,21
Fate/Extella: The Umbral Star (Limited Box),,,,,138
FIFA 18,September 29th. 2017,Sports,,$59.99,130
FIFA 19,September 28th. 2018,Sports,,$59.99,114
Final Fantasy X/X-2,December 31st. 2018,RPG,,$49.99,29
Final Fantasy XII: The Zodiac Age,2019,RPG,,$49.99,94
Fire Emblem : Three Houses,Q2 2019,Tactical RPG,,$59.99,130
Fire Emblem: Warriors,"October 20th. 2017 (NA & PAL)
September 28th. 2017 (JP)",Hack & Slash,,$59.99,142
